"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"70+","70+","غير سعودي","Non Saudi","790","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3333","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","270","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","383","ذكر","Male","1441"
"70+","70+","غير سعودي","Non Saudi","660","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","14224","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","6655","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","5317","أنثى","Female","1440"
"40-49","40-49","سعودي"," Saudi ","45985","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","2027","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","7014","ذكر","Male","1441"
"10-19","10-19","سعودي"," Saudi ","7134","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","1067","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","623","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","1184","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","336","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","285","ذكر","Male","1439"
"40-49","40-49","غير سعودي","Non Saudi","5284","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","2763","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3941","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","36324","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","3437","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","5795","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","2873","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","17297","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","3536","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","107844","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","8178","ذكر","Male","1440"
